name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Tom Chambers,76,2475,556,1271,20,379,459,490,194,65,52,177,1511,1991
Rex Chapman,70,2100,410,922,48,234,282,191,250,73,16,131,1102,1991
Maurice Cheeks*,76,2147,241,483,5,105,129,173,435,128,10,108,592,1991
Derrick Chievous,18,110,17,46,0,9,16,18,2,3,1,6,43,1991
Richard Coffey,52,320,28,75,0,12,22,79,3,6,4,5,68,1991
Derrick Coleman,74,2602,514,1100,13,323,442,759,163,71,99,217,1364,1991
Bimbo Coles,82,1355,162,393,6,71,95,153,232,65,12,98,401,1991
Steve Colter,19,251,23,56,5,7,10,26,37,11,1,11,58,1991
Lester Conner,74,1008,96,207,0,68,94,112,165,85,2,58,260,1991
Anthony Cook,58,1121,118,283,0,71,129,326,26,35,72,50,307,1991
Wayne Cooper,67,746,57,145,0,33,42,188,22,7,61,22,147,1991
Tyrone Corbin,82,3196,587,1311,2,296,371,589,347,162,53,209,1472,1991
